Marka,Seri,Model,Başlik,Yakit,Vites,Kilometre,Yil,Price;
Porsche,Panamera,Panamera 4,ACR MOTORS 2011 PANAMERA 4 BAYİ DOĞUŞ ÇIKIŞLI PDK 113.000km,Benzin,Yarı Otomatik,113.000,2011,545.000 TL;
Mercedes - Benz,CLA,200 AMG,2016 MODEL CLA 200 ORANGE PAKET ÖZEL SERİ FULL+FULL,Benzin,Yarı Otomatik,78.000,2016,247.000 TL;
Honda,Jazz,1.4 Elite,HONDA JAZZ 1.4 ELİTE,Benzin,Yarı Otomatik,160.000,2008,62.500 TL;
"Volkswagen,Golf,1.4 TSI Comfortline,""""""OTO MARKETplus"""" VOLKSWAGEN GOLF 1.4 TSI COMFORTLİNE"",Benzin,Yarı Otomatik,96.571,2014,117.250 TL";
Opel,Astra,1.4 Essentia,2011 ORJİNAL KAZASIZ OTOMATİK OPEL ASTRA FULL PAKET 86 BİNDE,Benzin,Yarı Otomatik,86.000,2011,85.500 TL;
Mini,Cooper S,1.6 Cabrio,HATASIZ ORJİNAL,Benzin,Yarı Otomatik,145.000,2009,153.000 TL;
BMW,5 Serisi,520i Comfort,HİRA OTOMOTİVDEN HATASIZ BOYASIZ 5.20 İ,Benzin,Yarı Otomatik,100.000,2014,257.500 TL;
BMW,3 Serisi,320i ED 40th Year Edition,Hatasiz mavi ici kirmizi,Benzin,Yarı Otomatik,133.000,2016,284.000 TL;
Peugeot,207,1.6 VTi Active,İLK ELDEN ORJINAL 51.500KM PEUGEOT 207 1.6 VTI OTOMATİK 120 HP,Benzin,Yarı Otomatik,51.500,2011,85.900 TL;
Volkswagen,Jetta,1.4 TSI Comfortline,1.4 TSİ DSG JETTA 2014,Benzin,Yarı Otomatik,191.000,2014,108.000 TL;
Honda,Civic,1.5 RS,HATA BOYA DEĞİŞEN TRAMER YOK,Benzin,Yarı Otomatik,56.500,2018,195.500 TL;
Opel,Corsa,1.2 Twinport Active,CORSA OTOMOTİK VİTES,Benzin,Yarı Otomatik,66.000,2014,76.000 TL;
BMW,5 Serisi,520i Executive Plus,BODRUM VOLKAN OTODAN 2016 ÇIKIŞLI HAYALET KADRWN,Benzin,Yarı Otomatik,119.000,2015,279.000 TL;
Volkswagen,Polo,1.0 TSI Comfortline,2018 VOLKSWAGEN POLO 1.0 TSI COMFORTLINE 11.750 KM HATASIZ,Benzin,Yarı Otomatik,11.750,2018,149.750 TL;
Skoda,Fabia,1.2 TSI Style,26 binde degisensiz boyasiz tremersiz,Benzin,Yarı Otomatik,26.000,2016,115.500 TL;
"Opel,Corsa,1.2 Comfort,""çok temiz,sahibinden otomatik corsa"",Benzin,Yarı Otomatik,192.000,2002,46.500 TL";
BMW,3 Serisi,320i ED 40th Year Edition,hatasız kusursuz 40.yıl,Benzin,Yarı Otomatik,50.000,2016,320.000 TL;
Volkswagen,Golf,1.4 TSI Comfortline,golf 6 122 HP DSG 131 binde tek parça boyalı hasarsız ekstralı,Benzin,Yarı Otomatik,130.800,2011,102.500 TL;
BMW,5 Serisi,520i M Sport,GALERİ EŞİYOK 2014 MODEL 5.20i ORJİNAL M TECHNIC HATASIZ,Benzin,Yarı Otomatik,92.500,2014,325.000 TL;
Mercedes - Benz,A Serisi,A 180 Urban,2015 MODEL A180 URBAN PAKET 47.000KM,Benzin,Yarı Otomatik,47.000,2015,182.000 TL;
Mercedes - Benz,A Serisi,A 180 AMG Sport,Sahibinden Hatasız Boyasız Tramersiz,Benzin,Yarı Otomatik,102.000,2015,207.500 TL;
Volkswagen,Polo,1.0 TSI Highline,2018 YENİ POLO 1.0 TSI CAM TAVANLI HİGHLİNE HATASIZ 33 BİNDE,Benzin,Yarı Otomatik,33.000,2018,152.000 TL;
Fiat,Punto,1.4 Lounge S&S,ADRES TESLİM | HATASIZ 2012 FİAT PUNTO LOUNGUE OTOMATİK 86.000KM,Benzin,Yarı Otomatik,86.000,2012,77.750 TL;
Toyota,Corolla,1.6 Touch,Beyaz İnci Sahibinden Garantisi Devam Ediyor,Benzin,Yarı Otomatik,11.000,2018,144.500 TL;
Honda,Civic,1.6i VTEC Executive,İLK SAHİBİNDEN EXECUTIVE FULL PAKET HONDA,Benzin,Yarı Otomatik,33.000,2017,168.000 TL;
Volkswagen,Golf,1.4 TSI Comfortline,MEMURDAN GARAJ ARABASI,Benzin,Yarı Otomatik,6.600,2018,186.500 TL;
Mercedes - Benz,CLA,200 Urban,MASRAFSIZ AMG GÖRÜNÜM SUNROOF FULL 95 binde,Benzin,Yarı Otomatik,95.000,2013,189.000 TL;
Peugeot,RCZ,1.6 THP Yearling,Fark arayanlara Sedef beyaz Otomatik RCZ,Benzin,Yarı Otomatik,170.000,2011,115.000 TL;
BMW,4 Serisi,418i Gran Coupe Prestige,ACR MOTORS 2016 418 İ GRANCOUPE 65.000km,Benzin,Yarı Otomatik,65.000,2016,272.000 TL;
Renault,Clio,1.2 Turbo Icon,ES MOTORSDAN HATASIZ BOYASIZ 40.000 KM BAKIMLI OTOMATİK,Benzin,Yarı Otomatik,40.000,2016,102.750 TL;
BMW,5 Serisi,520i Comfort,ÖZERLER MOTORS BMW 520i COMFORT 63.000 KM HATASIZ ORJİNAL,Benzin,Yarı Otomatik,63.000,2015,265.000 TL;
Volkswagen,Polo,1.2 TSI Comfortline,SAHİBİNDEN HATASIZ 30.000km,Benzin,Yarı Otomatik,30.000,2016,125.000 TL;
Volkswagen,Jetta,1.4 TSI BlueMotion Comfortline,ARAZDAN HATASIZ LANSMAN RENK TÜRKİYENİN HER YERİNE TESLİM,Benzin,Yarı Otomatik,76.000,2016,155.500 TL;
Volkswagen,VW CC,1.4 TSI 1.4,MESUT OTOMOTIVDEN FIRSAT ARACI CC ÖZEL RENK,Benzin,Yarı Otomatik,183.000,2012,126.500 TL;
Mercedes - Benz,E Serisi,E 180 Edition E,MESCAR'DAN ADRESE TESLİM 2016 E180 EDİTİONE 92.000KM HATASIZ ORJ,Benzin,Yarı Otomatik,92.000,2016,328.000 TL;
Opel,Corsa,1.2 Twinport Enjoy 111,OPEL CORSA 111.YIL ÖZEL SERİ --OTOMATİK VİTES --ENJOY EASYTRONIC,Benzin,Yarı Otomatik,95.000,2010,77.500 TL;
Seat,Leon,1.4 EcoTSI FR,HATASİZ SEAT LEON FR DSG,Benzin,Yarı Otomatik,101.000,2015,161.750 TL;
Volkswagen,Polo,1.2 TSI Comfortline,ARAZDAN HATASIZ BOYASIZ TÜRKİYENİN HER YERİNE TESLİM,Benzin,Yarı Otomatik,52.000,2017,129.500 TL;
Smart,Fortwo,1.0 Passion,2015 HATASIZ SMART 1.0 PASSİON,Benzin,Yarı Otomatik,78.000,2015,85.750 TL;
Volkswagen,Jetta,1.4 TSI BlueMotion Highline,ALPASLAN MOTORSDAN SIFIR AYARINDA JETTA 1.4 TSİ DSG HİHGLİNE,Benzin,Yarı Otomatik,40.000,2016,158.999 TL;
Audi,A5,A5 Coupe 1.8 TFSI,S lıne emsalsiz temizlik,Benzin,Yarı Otomatik,140.000,2008,160.000 TL;
Volkswagen,Jetta,1.4 TSI BlueMotion Comfortline,Sahibinden 45000 km tramersiz masrafsız,Benzin,Yarı Otomatik,45.000,2016,157.000 TL;
Mercedes - Benz,CLA,200 AMG,ÖZEL SİPARIŞ MUKEMMEL TEMİZLİKTE CLA200 AMG KOLTUK ISITMA DERI,Benzin,Yarı Otomatik,130.000,2013,194.500 TL;
Renault,Clio,1.2 Extreme,AKBALIK OTOMOTİV'DEN OTOMATİK CLİO,Benzin,Yarı Otomatik,80.000,2008,65.000 TL;
"BMW,1 Serisi,116i Sport Line,""""""GEZERLER AUTO'DAN""""2012 model emsalsiz BMW 1.16i"",Benzin,Yarı Otomatik,157.000,2012,139.500 TL";
"Renault,Megane,1.2 TCe Touch,""İlk Sahibinden, Hatasız, Tramersiz Megane Sedan"",Benzin,Yarı Otomatik,30.000,2016,141.000 TL";
BMW,3 Serisi,316i M Sport,SAYFANIN EN DOLUSU MSPORT !!! AÇIKLAMAYI MUTLAKA OKUYUN.,Benzin,Yarı Otomatik,71.000,2014,258.000 TL;
Volkswagen,Polo,1.2 TSI Lounge,Full + Full orijinal POLO,Benzin,Yarı Otomatik,27.000,2015,135.000 TL;
Seat,Leon,1.5 EcoTSI FR,Sahıbınden sıfır ayarında fr 2020 çıkışlı,Benzin,Yarı Otomatik,4.500,2019,200.000 TL;
Volkswagen,Beetle,1.2 TSI Design,BONCUK MOTORS VOLKSWAGEN BEETLE DESİNG CAM TAVAN+MERCEK FAR+DSG,Benzin,Yarı Otomatik,105.000,2012,128.000 TL;
BMW,3 Serisi,320i ED 40th Year Edition,2016 BOYASIZ BMW 40.YIL 81 BİN KMde BORUSAN BAKIMLI İÇİ KIRMZI,Benzin,Yarı Otomatik,81.000,2016,314.900 TL;
Audi,A3,A3 Cabrio 1.4 TFSI,ALDATMAZ PLAZA*'DAN 2016 MODEL AUDİ A 3 CABRİO SPORTLINE,Benzin,Yarı Otomatik,43.000,2016,283.000 TL;
Audi,A5,A5 Coupe 2.0 TFSI,ÇOBANOĞLU OTOMOTİVDEN A5 2.0 TFSI S-LİNE YENİ GÖRÜNÜM..,Benzin,Yarı Otomatik,128.000,2009,165.000 TL;
Volkswagen,Jetta,1.4 TSI Highline,2013 ÇIKIŞLI SUNROOFLU OTOMATİK JETTA 96 BİN KM FULL ORJİNAL,Benzin,Yarı Otomatik,96.000,2012,132.000 TL;
"Volkswagen,Jetta,1.4 TSI BlueMotion Comfortline,""KAÇIRMAYIN... ÇOK TEMİZ,ACİL,PANDEMİDE KAÇMAZ..."",Benzin,Yarı Otomatik,55.575,2016,162.000 TL";
BMW,3 Serisi,320i ED Sport Line,YENİ MAKYAJ İMOLA RED DIŞ M PAKET M DİREKSİYON,Benzin,Yarı Otomatik,115.000,2015,255.000 TL;
BMW,5 Serisi,520i Premium,AYNAOĞLU DAN 2015 5.20İ PREMIUM 170 HP BOYASIZ 50.000 KM DE,Benzin,Yarı Otomatik,50.000,2015,296.000 TL;
Volkswagen,Golf,1.4 TSI Highline,2018 MODEL DSG 28.000 KM HATASIZ BOYASIZ BAYİ ÇIKIŞLI GOLF,Benzin,Yarı Otomatik,28.000,2018,208.750 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Trendline,ACİLLL PAZARLIKSIZ DSG PASSAT,Benzin,Yarı Otomatik,194.000,2011,108.900 TL;
Volkswagen,Scirocco,1.4 TSI Sportline,VW SCIROCCO DSG CAM TAVAN 160LIK ICI TABA VOSMER BAKIMLI FULL,Benzin,Yarı Otomatik,104.000,2013,134.900 TL;
BMW,1 Serisi,116i Comfort,Tertemiz 55 bin km de BMW 1.16 i,Benzin,Yarı Otomatik,57.000,2014,180.000 TL;
Opel,Astra,1.6 Enjoy,Otomatik Astra Sedan,Benzin,Yarı Otomatik,220.000,2008,62.350 TL;
BMW,3 Serisi,320i ED Luxury Line Plus,GKA'DAN 2014 BMW 3.20İed LUXURYLİNE PLUS TR'NİN EN DOLU ARACI,Benzin,Yarı Otomatik,209.000,2014,215.000 TL;
Mitsubishi,Space Star,1.2 Invite,KARAT MOTORS 2014 SPACE STAR 1.2 INVİTE 65.000 KMDE TAM OTOMATİK,Benzin,Yarı Otomatik,65.500,2014,86.500 TL;
Volkswagen,Polo,1.2 TSI Comfortline,2017 BOYASIZ HATASIZ CAM TAVAN OTOMATİK 61 BİN KMde HSR KAYITSZ,Benzin,Yarı Otomatik,61.000,2017,131.900 TL;
Toyota,Auris,1.6 Elegant,Bayandan Temiz Toyota,Benzin,Yarı Otomatik,185.000,2007,73.280 TL;
Honda,Jazz,1.4 LS,ATA OTOMOTİV'DEN 2006 MODEL HONDA JAZZ 1.4LS OTOMATİK,Benzin,Yarı Otomatik,140.000,2006,70.000 TL;
Mercedes - Benz,E Serisi,E 250 CGI Elite,İLK SAHBİNDEN ÇOK TEMİZ KAZASIZ BAYİİ ÇIKIŞLI E250 ELİTE,Benzin,Yarı Otomatik,125.000,2012,249.500 TL;
Audi,A4,A4 Sedan 1.4 TFSI Dynamic,2017 ÇIKŞLI AUDİ A4 1.4TFSİ DYNAMİC SUNROOF DEĞİŞENSİZ-TRAMERSİZ,Benzin,Yarı Otomatik,166.000,2016,242.000 TL;
Toyota,Yaris,1.33 Fun Special,HATASIZ ORJINAL 27 BİNDE OTOMATİK YARİS,Benzin,Yarı Otomatik,27.000,2017,112.850 TL;
"BMW,5 Serisi,520i Executive M Sport,""""""OTO MARKETplus"""" HATASIZ BOYASIZ 520i EXECUTİVE M SPORT"",Benzin,Yarı Otomatik,85.510,2015,335.000 TL";
Volkswagen,Golf,1.4 TSI Highline,İlk sahibinden tertemiz golf,Benzin,Yarı Otomatik,109.000,2015,149.000 TL;
Skoda,Citigo,1.0 Elegance,HYUNDAİ YETKİLİ BAYİSİNDEN 2013 MODEL SKODA CTİGO OTOMATİK,Benzin,Yarı Otomatik,50.000,2013,77.500 TL;
Volkswagen,Jetta,1.4 TSI BlueMotion Comfortline,2017-DSG 90 BİNDE KOLTUK ISITMALI BEBEK JETTA CICEK GİBİ,Benzin,Yarı Otomatik,89.000,2017,127.500 TL;
BMW,3 Serisi,320i ED M Plus,has otomotiv'den 2016 bmw 3.20ied 85.000km'de m plus,Benzin,Yarı Otomatik,85.000,2016,269.000 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,2014 MODEL 1.4 TSİ PASSAT COMFORTLİNE - 125KM -EMSALSİZ TEMİZLİK,Benzin,Yarı Otomatik,125.000,2014,130.750 TL;
BMW,5 Serisi,520i Premium,İLK EL-BOYASIZ-BÜYÜK EKRAN-HAYALET-VAKUM -NAVİGSYON-SEDEFLİ BEYAZ,Benzin,Yarı Otomatik,49.000,2014,295.000 TL;
Volkswagen,Jetta,1.2 TSI BlueMotion Comfortline,2017 VW JETTA 1.2 TSI+SUNROOF+KEY­LESS-GO+LED+HATA­SIZ+29.000KM'DE,Benzin,Yarı Otomatik,29.900,2017,169.000 TL;
Audi,A3,A3 Hatchback 1.4 TFSI,Videolu Güncel Ekspertizli 2009 110.000 Km Tertemiz Bakımlı A3,Benzin,Yarı Otomatik,110.000,2009,109.850 TL;
Citroën,C3,1.4 VTi Confort,2. Sahibinden Otomatik vites,Benzin,Yarı Otomatik,98.000,2012,84.750 TL;
Mazda,6,2.0,EA ANKARA'DAN 2005 OTOMATİK SUNROOF KOLTUK ISITMA BOSE 180.000KM,Benzin,Yarı Otomatik,180.000,2005,61.900 TL;
Honda,Civic,1.6i VTEC Eco Executive,AUTO 52 DEN HONDA CİVİC ECO EXECITİVE HATASIZ,Benzin,Yarı Otomatik,54.000,2017,167.500 TL;
Renault,Clio,1.2 Turbo Touch,2019 ÇIKIŞLI BOYASIZ HATASIZ SADECE 6 BİN KM OTOMATİK VİTES CLİO,Benzin,Yarı Otomatik,6.000,2018,125.000 TL;
Audi,A3,A3 Sportback 1.4 TFSI,GKA MOTORSDAN TRNİN EN UYGUNU 2009 AUDİ A3 1.4T S-Line OTOMATİK,Benzin,Yarı Otomatik,238.000,2009,80.000 TL;
Honda,Civic,1.5 RS,Hatasız boyasız Rs HONDAAAA,Benzin,Yarı Otomatik,75.000,2018,182.500 TL;
BMW,3 Serisi,320i ED Sport Line,HATASIZ-HASA­RSIZ-BOYASIZ,Benzin,Yarı Otomatik,102.000,2013,255.000 TL;
BMW,3 Serisi,320i ED M Plus,*2015 MAKYAJLI KASA SEDEFLİ BEYAZ 3.20 İED 133.000KM DE*,Benzin,Yarı Otomatik,133.000,2015,181.500 TL;
Mercedes - Benz,CLS,500 500 BlueEfficiency,2009 MERCEDES CLS 500 BAYİ 380hp HATASIZ İLK SAHİBİ,Benzin,Yarı Otomatik,72.000,2008,295.000 TL;
"Toyota,Yaris,1.33 Fun,""Goldcardan 2013 Otomatik 50,000 km Yaris"",Benzin,Yarı Otomatik,50.853,2013,82.750 TL";
BMW,4 Serisi,418i Gran Coupe Ultimate M Sport,SAHİBİNDEN ULTIMATE M EXTRALI DAHA DOLUSU YOK,Benzin,Yarı Otomatik,79.000,2017,355.000 TL;
Dacia,Sandero,0.9 TCe Stepway,DACIA SANDERO,Benzin,Yarı Otomatik,18.765,2017,108.000 TL;
Opel,Corsa,1.2 Twinport Active,Boyasız 2014 Corsa 1.2 Active.Otomati­k.Hız.Sabt.Ya­rı.Deri.53.bin,Benzin,Yarı Otomatik,53.000,2014,92.500 TL;
Volkswagen,VW CC,1.4 TSI Exclusive,2016 MODEL 1.4 TSI HATASIZ - BOYASIZ - İLK SAHİNDEN - 56.000 KM,Benzin,Yarı Otomatik,56.500,2016,196.750 TL;
Mercedes - Benz,E Serisi,E 250 CGI Premium,HATASIZ - BOYASIZ EN TEMIZINDEN,Benzin,Yarı Otomatik,116.000,2012,275.000 TL;
Audi,S Serisi,S3 2.0 TFSI Quattro,PERA'DAN 2015 MODEL 55.000 KM AUDİ S-3 SEDAN 2.0 TFSİ 285HP,Benzin,Yarı Otomatik,55.000,2015,367.500 TL;
Volkswagen,Scirocco,1.4 TSI Sportline,2013 VW Scirocco R Body Air Tr Tek Dolulukta Tam Yapılı Eksiksiz,Benzin,Yarı Otomatik,68.000,2013,163.500 TL;
Audi,A1,1.4 TFSI Ambition,PALERMO MOTORS'DAN AUDI A1 S-TRONIC AMBITION,Benzin,Yarı Otomatik,164.271,2011,94.750 TL;
Porsche,Panamera,Panamera 4,PALERMO MOTORS'DAN PORSCHE PANAMERA 4 4X4 TAM ÖTV,Benzin,Yarı Otomatik,157.000,2011,415.000 TL;
Volkswagen,Passat,1.8 TFSI,DOKTORDAN PASSAT CC F1 VİTES,Benzin,Yarı Otomatik,176.000,2011,106.000 TL;
BMW,3 Serisi,318i M Joy Plus,HATASIZ BOYASIZ LEKESİZ BAYİ ÇIKIŞLI MAKYAJLI KASA,Benzin,Yarı Otomatik,98.000,2015,236.000 TL;
Bentley,Continental,GT,YAZKAN'DAN PEŞİNATSIZ ÇEK İLE 12 AY VADELİ-BAYİ ÇIKIŞLI,Benzin,Yarı Otomatik,9.250,2017,2.950.000 TL;
BMW,4 Serisi,428i xDrive Gran Coupe Sport Line,BÜYÜK EKRAN+HEAD-UP+HARMAN KARDON FULL+FULL,Benzin,Yarı Otomatik,147.000,2014,360.000 TL;
Volkswagen,Polo,1.2 TSI Comfortline,ORJİNALL HASAR KAYITSIZ,Benzin,Yarı Otomatik,144.000,2015,96.750 TL;
Porsche,Boxster,Boxster,hatasiz 2007 model bayi cikisli garaj chrono paket sifir terleme,Benzin,Yarı Otomatik,99.000,2007,305.000 TL;
BMW,3 Serisi,316i Modern Line,F.Çelik AutoDan Bmw F30 3.16Modern Line Hatasız Boyasız DeğŞnSz,Benzin,Yarı Otomatik,149.000,2013,197.500 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Highline,BAYRAMA ÖZEL BU FİYAT GEÇERLİ,Benzin,Yarı Otomatik,148.000,2017,226.000 TL;
Volkswagen,Jetta,1.2 TSI Comfortline,LASMAN RENGİ EN DOLUSU,Benzin,Yarı Otomatik,90.000,2015,137.500 TL;
BMW,3 Serisi,320i ED Luxury Line Plus,PARK oto dan 2015 BMW 320 İED Luxury Line Pulus BOYASIZ İlksahib,Benzin,Yarı Otomatik,127.000,2015,223.500 TL;
BMW,5 Serisi,520i Comfort,PARK OTO dan 2014 BMW 520İ COMFORT 70 BİN KM BOYASIZ SIFIR ARAÇ,Benzin,Yarı Otomatik,70.000,2014,263.500 TL;
"Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,""PASSAT BOYASIZ, ORİJİNAL, PARK ASİSTANLI VE EKSTRALI"",Benzin,Yarı Otomatik,58.000,2015,190.250 TL";
Mercedes - Benz,E Serisi,E 250 AMG 7G-Tronic,AYDINOGULLARİNDAN %30 PESİN DİLEDİĞİNİZ TAKSİT TUTARİ İMKANIYLA,Benzin,Yarı Otomatik,169.800,2014,397.850 TL;
BMW,3 Serisi,316i Sport Line,-AUTONATION- BMW 316i SPORT LİNE MELBOURNE RED BOYASIZ BORUSAN,Benzin,Yarı Otomatik,59.000,2013,214.000 TL;
Mercedes - Benz,E Serisi,E 180 Edition E,HATASIZ//BO­YASIZ//2016 MODEL E 180 EDİTİON E'' 51.000 KM,Benzin,Yarı Otomatik,51.000,2016,345.000 TL;
BMW,3 Serisi,320i ED Sport Line,2015 BMW-320İ ED-SPORT LİNE-170 HP-MAKYAJLI-82 BİN'KM'DE,Benzin,Yarı Otomatik,82.000,2015,228.750 TL;
Volkswagen,Polo,1.2 TSI Comfortline,cam tavanlı dsg 51.000 km de,Benzin,Yarı Otomatik,51.000,2014,127.500 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,B8 SATIŞTA,Benzin,Yarı Otomatik,151.600,2016,174.500 TL;
Volkswagen,Scirocco,1.4 TSI Sportline,SEN BİLİRSİN PİYASAYA Bİİ BAK İSTERSEN :),Benzin,Yarı Otomatik,143.000,2010,108.000 TL;
Toyota,Yaris,1.33 Terra Sporty,HATASIZ BOYASIZ İLK SAHİBİNDEN 77 BNDE TAM OTOMATİK F1 SANZUMAN,Benzin,Yarı Otomatik,77.500,2011,84.500 TL;
Mercedes - Benz,CLA,200 AMG,sahibinden temiz cla200 amg,Benzin,Yarı Otomatik,107.000,2013,183.900 TL;
"BMW,4 Serisi,418i Gran Coupe M Sport,""""""MEDYA MOTORS"""" 2015 418İ GRANCOUPE ///M PAKET 104.000KM BAYİİ"",Benzin,Yarı Otomatik,104.000,2015,248.000 TL";
BMW,3 Serisi,320i ED Luxury Line Plus,GENÇ OTO'DAN | HATASIZ-TRAMERSİZ |HARMAN-HAFIZ­A-ISITMA-ELK PERDE,Benzin,Yarı Otomatik,181.000,2014,201.750 TL;
Volkswagen,Jetta,1.2 TSI Trendline,ACİL DÜŞÜK KM OTOMATİK COMFORTLİNE DONANIMLI EMSALSİZ TEMİZLİKTE,Benzin,Yarı Otomatik,68.000,2014,112.000 TL;
BMW,3 Serisi,316i Modern Line,UMUT OTO/BMW 3.16 İ MODERN LİNE/İÇ-DIŞ M SPORT/SOUNRO­UF/BOYASIZZ,Benzin,Yarı Otomatik,136.000,2014,232.000 TL;
Nissan,Micra,1.2 Tekna,NİSSAN MİCRA OTOMATİK VİTES,Benzin,Yarı Otomatik,113.000,2011,75.000 TL;
Mercedes - Benz,C Serisi,C 180 Exclusive,AKGÜN OTOMOTİVDEN C 180 EXCLUSİVE,Benzin,Yarı Otomatik,105.000,2014,259.500 TL;
Volkswagen,Jetta,1.4 TSI Comfortline,VW JETTA 1.4 TSİ DSG,Benzin,Yarı Otomatik,208.000,2009,80.000 TL;
"Mercedes - Benz,B Serisi,B 160 Sport,""Boyasız,,Ha­tasız,Hasar kayıtsız,,sıfır ayarında ilk elden alınma"",Benzin,Yarı Otomatik,168.000,2010,118.000 TL";
Nissan,Micra,1.2 Match,İLHANDAN EMSALSİZ 2017 NİSSAN MİCRA 1.2 MATCH***,Benzin,Yarı Otomatik,35.000,2017,99.500 TL;
Volkswagen,VW CC,1.4 TSI Exclusive,SAHİBİNDEN 2016 VW EXCLUSİVE CAM TAVAN,Benzin,Yarı Otomatik,58.000,2016,202.500 TL;
Smart,Roadster,Roadster,smart otomotivden satılık,Benzin,Yarı Otomatik,135.000,2004,64.500 TL;
BMW,5 Serisi,520i Premium,Hatasız Boyasız,Benzin,Yarı Otomatik,80.000,2015,296.000 TL;
Volkswagen,Polo,1.4 Comfortline,OTOMATİK VİTES // YENİ KASA VW POLO,Benzin,Yarı Otomatik,176,2010,69.500 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,EYM GARAGE' den Passat Otomatik,Benzin,Yarı Otomatik,98.000,2014,123.750 TL;
"Alfa Romeo,GT,2.0 JTS Dis.Selespeed,""Mühendisten 2009 Otomatik GT / 91bin Boya-Kaza YOK, Bakımlı"",Benzin,Yarı Otomatik,91.000,2009,103.000 TL";
Maserati,GranCabrio,4.7,Bayiii orjinal km Hatasiz,Benzin,Yarı Otomatik,39.000,2011,1.350.000 TL;
Skoda,Octavia,1.2 TSI Elegance,İlk sahibinden,Benzin,Yarı Otomatik,120.600,2015,152.500 TL;
Ford,Fiesta,1.6 Titanium,HATASIZ TAM OTOMATİK TİTANIUM X PAKET,Benzin,Yarı Otomatik,46.800,2015,118.000 TL;
Volkswagen,Scirocco,1.4 TSI Sportline,2014 Scirocco 1.4 TSI DSG 160 HP HATASIZ,Benzin,Yarı Otomatik,83.000,2014,142.000 TL;
Hyundai,Accent Blue,1.4 D-CVVT Mode Plus,2.SAHİBİNDEN HASARSIZ KAZASIZ DEGİŞENSİZ FABRİKADAN ÇIKTIĞI GİBİ,Benzin,Yarı Otomatik,140.000,2016,98.500 TL;
Renault,Clio,1.2 Turbo Joy,2019 Clio Otomatik 4.600 Km az kullanılmış hatasız kazasız,Benzin,Yarı Otomatik,4.600,2019,126.000 TL;
BMW,3 Serisi,318i M Joy,HONDA ERSAVAŞTAN DEĞİŞENSİZ 2016 BMW 3.18i MJOY,Benzin,Yarı Otomatik,98.000,2016,218.000 TL;
Volkswagen,Golf,1.2 TSI Comfortline,SAHİBİNDEN TEMİZ GOLF 7,Benzin,Yarı Otomatik,98.000,2015,139.000 TL;
Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,SAHİBİNDEN PASSAT COMFORTLİNE BAKIMLI,Benzin,Yarı Otomatik,114.300,2015,178.000 TL;
Toyota,Auris,1.6 Advance,2013 Model Otomatik Toyota Auris Değişensiz,Benzin,Yarı Otomatik,96.000,2013,115.900 TL;
Audi,A3,A3 Sedan 1.5 TFSI,2020 TESCİLLİ AUDİ A3 SEDAN 35TFSI SPORT PRESTİGE (OPSİYONLUDUR),Benzin,Yarı Otomatik,4.600,2019,270.000 TL;
Skoda,Fabia,1.2 TSI Ambition,HATASİZ BOYASİZ DSG 60BİN KM,Benzin,Yarı Otomatik,61.000,2015,117.500 TL;
"Fiat,Panda,0.9 TwinAir Pop,""Periyodik bakımları yeni yapılmış, otomatik panda"",Benzin,Yarı Otomatik,45.000,2013,76.500 TL";
Mercedes - Benz,C Serisi,C 180 BlueEfficiency Start,HANZADE CAR'DAN / 2011 C180 START / BENZİN / OTOMATİK / 7 İLERİ,Benzin,Yarı Otomatik,177.000,2011,122.900 TL;
Ford,Fiesta,1.6 Trend X,SAHIBINDEN ÇOK TEMIZ FORD FIESTA,Benzin,Yarı Otomatik,40.000,2016,112.000 TL;
Mercedes - Benz,C Serisi,C 180 BlueEfficiency Fascination,Net fiyat son fiyat hatasız kusursuz sahibinden,Benzin,Yarı Otomatik,124.000,2014,200.000 TL;
Volkswagen,Golf,1.2 TSI Comfortline,2015 HATASIZ GOLF 1.2 TSI DSG COMFORTLINE 110 HP,Benzin,Yarı Otomatik,118.400,2015,136.900 TL;
Nissan,Micra,1.2 Street,HATASIZ BOYASIZ 16 BİNDE 2015 NİSSAN MİCRA,Benzin,Yarı Otomatik,16.100,2015,106.000 TL;
Audi,S Serisi,S3 2.0 TFSI Quattro,2015 Audi S3 2.0 T Quattro S-tronic / 42.000 km / Hatasız,Benzin,Yarı Otomatik,42.000,2015,375.000 TL;
Mercedes - Benz,CLA,200 AMG,TR DE SAYILI 2016 54 BİNDE ORANGE ART EDİTİON AMG FULL,Benzin,Yarı Otomatik,54.400,2016,254.000 TL;
"Mercedes - Benz,E Serisi,E 180 Edition E,""2016 E 180 EDİTİON E, 40.000 KM, HATASIZ BOYASIZ"",Benzin,Yarı Otomatik,40.000,2016,362.000 TL";
Volkswagen,Golf,1.2 TSI Comfortline,2014 VOLKSWAGEN GOLF 1.2 TSİ BMT COMFORTLİNE ...OTOMATİK,Benzin,Yarı Otomatik,101.000,2014,131.900 TL;
